Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;288.818;1.864;8.770;6.871;28.1.2021
Bayern;396.600;2.869;12.737;10.116;28.1.2021
Berlin;118.433;831;3.273;2.164;28.1.2021
Brandenburg;66.370;1.220;3.818;2.161;28.1.2021
Bremen;15.639;90;496;259;28.1.2021
Hamburg;45.535;465;1.550;1.029;28.1.2021
Hessen;168.871;1.276;6.263;4.676;28.1.2021
Mecklenburg-Vorpommern;19.197;249;1.618;409;28.1.2021
Niedersachsen;139.029;1.480;6.104;3.154;28.1.2021
Nordrhein-Westfalen;478.263;3.250;16.712;10.457;28.1.2021
Rheinland-Pfalz;91.099;668;3.687;2.417;28.1.2021
Saarland;24.941;270;1.058;711;28.1.2021
Sachsen;177.121;1.082;5.292;6.002;28.1.2021
Sachsen-Anhalt;50.200;800;3.818;1.604;28.1.2021
Schleswig-Holstein;35.037;507;2.717;815;28.1.2021
Thüringen;63.675;632;3.714;2.068;28.1.2021
Gesamt;2.178.828;17.553;81.627;54.913;28.1.2021
