Bundesland;Kategorie;Name;technischer_name;Erlaubt;Zusatz;Stand
Nordrhein-Westfalen;Allgemeine Vorgaben;Maskenpflicht;maskenpflicht;1;Es besteht Maskenpflicht;13.05.20
Nordrhein-Westfalen;Allgemeine Vorgaben;1,5m Abstand ;abstand;1;1,5m Abstand halten;13.05.20
Nordrhein-Westfalen;Allgemeine Vorgaben;Hygiene Regeln;hygiene;1;Hygieneregeln befolgen ((Hande waschen, Niesetikette);13.05.20
Nordrhein-Westfalen;Allgemeine Vorgaben;Öffentlicher Nahverkehr;bus;1;Maske muss im ÖPNV getragen werden;13.05.20
Nordrhein-Westfalen;Allgemeine Vorgaben;Einkaufen;einkaufen;1;Maske muss beim Einkaufen getragen werden;13.05.20
Nordrhein-Westfalen;Sport;Schwimmbad;schwimmbad;0;Hallenbäder ab 30.5. geöffnet, Freibäder ab 20.05., reine Spaßbäder geschlossen;13.05.20
Nordrhein-Westfalen;Sport;Freizeitsport;freizeit;1;Joggen, Radfahren und weitere Outdoor Sportarten;13.05.20
Nordrhein-Westfalen;Sport;Fitnessstudio;fitness;1;Hygieneregeln befolgen;13.05.20
Nordrhein-Westfalen;Sport;Kontaktsport;kontakt;0;ab dem 30.5. erlaubt;13.05.20
Nordrhein-Westfalen;Sport;Wettbewerb;wettbewerb;0;ab dem 30.5. erlaubt;13.05.20
Nordrhein-Westfalen;Kultur;Open Air;openair;1;Konzerte und Theater bis max. 100 Personen;13.05.20
Nordrhein-Westfalen;Kultur;Theater/ Oper;theater;0;ab dem 30.5. erlaubt;13.05.20
Nordrhein-Westfalen;Kultur;Kinos;kino;0;ab dem 30.5. erlaubt;13.05.20
Nordrhein-Westfalen;Kultur;Museen;museum;1;ohne Führungen/Gruppen;13.05.20
Nordrhein-Westfalen;Kultur;Gedenkstätten;gedenk;1;Abstandsregeln befolgen;13.05.20
Nordrhein-Westfalen;Kultur;Burgen / Schlösser;burg;1;Abstandsregeln befolgen;13.05.20
Nordrhein-Westfalen;Kultur;Zoos;zoo;1;Abstandsregeln befolgen;13.05.20
Nordrhein-Westfalen;Kultur;Gottesdienste;gottesdienst;1;eingeschränkte Teilnehmerzahl;13.05.20
Nordrhein-Westfalen;Bildungseinrichtungen;Schulen;schule;1;Sonderregulungen für verschiedene Jahrgangsstufen;13.05.20
Nordrhein-Westfalen;Bildungseinrichtungen;Universität;uni;1;max. 100 Leute in einem Raum, aber findet meistens online statt;13.05.20
Nordrhein-Westfalen;Bildungseinrichtungen;Fahrschulen;fahrschule;1;kein Mindestabstand notwendig;13.05.20
Nordrhein-Westfalen;Bildungseinrichtungen;Bibliothek;bibliothek;1;eingeschränkter Betrieb;13.05.20
Nordrhein-Westfalen;Bildungseinrichtungen;Kitas;kita;1;Notfallbetrieb hat weiter Bestand;13.05.20
Nordrhein-Westfalen;Öffentliche Einrichtungen;Krankenhaus;krankenhaus;1;eingeschränkter Besuch;13.05.20
Nordrhein-Westfalen;Öffentliche Einrichtungen;Spielplatz;spielplatz;1;Abstandsregeln befolgen;13.05.20
Nordrhein-Westfalen;Öffentliche Einrichtungen;Friedhöfe;friedhof;1;Abstandsregeln befolgen;13.05.20
Nordrhein-Westfalen;Öffentliche Einrichtungen;Parks;park;1;Abstandsregeln befolgen;13.05.20
Nordrhein-Westfalen;Gastronomie;Cafe;cafe;1;Max. 50% Auslastung, max 2 Haushalte pro Tisch;13.05.20
Nordrhein-Westfalen;Gastronomie;Restaurant;restaurant;1;Max. 50% Auslastung, max 2 Haushalte pro Tisch;13.05.20
Nordrhein-Westfalen;Gastronomie;Eisdiele;eisdiele;1;Max. 50% Auslastung, max 2 Haushalte pro Tisch;13.05.20
Nordrhein-Westfalen;Gastronomie;Mensa / Kantine;kantine;1;Hygieneregeln befolgen;13.05.20
Niedersachsen;Allgemeine Vorgaben;Maskenpflicht;maskenpflicht;1;Es besteht Maskenpflicht;13.05.20
Niedersachsen;Allgemeine Vorgaben;1,5m Abstand ;abstand;1;1,5m Abstand halten;17.05.20
Niedersachsen;Allgemeine Vorgaben;Hygiene Regeln;hygiene;1;Hygieneregeln befolgen (Hande waschen, Niesetikette);17.05.20
Niedersachsen;Allgemeine Vorgaben;Öffentlicher Nahverkehr;bus;1;Maske muss im ÖPNV getragen werden;17.05.20
Niedersachsen;Allgemeine Vorgaben;Einkaufen;einkaufen;1;Maske muss beim Einkaufen getragen werden;17.05.20
Niedersachsen;Sport;Schwimmbad;schwimmbad;0;bis auf weiteres geschlossen;17.05.20
Niedersachsen;Sport;Freizeitsport;freizeit;1;Joggen, Radfahren und weitere Outdoor Sportarten;17.05.20
Niedersachsen;Sport;Fitnessstudio;fitness;0;bis auf weiteres geschlossen;17.05.20
Niedersachsen;Sport;Kontaktsport;kontakt;0;bis auf weiteres verboten;17.05.20
Niedersachsen;Sport;Wettbewerb;wettbewerb;0;bis auf weiteres verboten;17.05.20
Niedersachsen;Kultur;Open Air;openair;0;bis auf weiteres verboten;17.05.20
Niedersachsen;Kultur;Theater/ Oper;theater;0;bis auf weiteres geschlossen;17.05.20
Niedersachsen;Kultur;Kinos;kino;0;bis auf weiteres geschlossen;17.05.20
Niedersachsen;Kultur;Museen;museum;1;Abstandsregeln befolgen;17.05.20
Niedersachsen;Kultur;Gedenkstätten;gedenk;1;Abstandsregeln befolgen;17.05.20
Niedersachsen;Kultur;Burgen / Schlösser;burg;1;Abstandsregeln befolgen;17.05.20
Niedersachsen;Kultur;Zoos;zoo;1;Abstandsregeln befolgen;17.05.20
Niedersachsen;Kultur;Gottesdienste;gottesdienst;1;eingeschränkte Teilnehmerzahl;17.05.20
Niedersachsen;Bildungseinrichtungen;Schulen;schule;1;Sonderregulungen für verschiedene Jahrgangsstufen;17.05.20
Niedersachsen;Bildungseinrichtungen;Universität;uni;1;max. 100 Leute in einem Raum, aber findet meistens online statt;17.05.20
Niedersachsen;Bildungseinrichtungen;Fahrschulen;fahrschule;1;mit Mundschutz erlaubt;17.05.20
Niedersachsen;Bildungseinrichtungen;Bibliothek;bibliothek;1;Abstandsregeln befolgen;17.05.20
Niedersachsen;Bildungseinrichtungen;Kitas;kita;0;Notfallbetrieb hat weiter Bestand;17.05.20
Niedersachsen;Öffentliche Einrichtungen;Krankenhaus;krankenhaus;1;eingeschränkter Besuch;17.05.20
Niedersachsen;Öffentliche Einrichtungen;Spielplatz;spielplatz;1;Abstandsregeln befolgen;17.05.20
Niedersachsen;Öffentliche Einrichtungen;Friedhöfe;friedhof;1;Abstandsregeln befolgen;17.05.20
Niedersachsen;Öffentliche Einrichtungen;Parks;park;1;Abstandsregeln befolgen;17.05.20
Niedersachsen;Gastronomie;Cafe;cafe;1;Max. 50% Auslastung, max 2 Haushalte pro Tisch;17.05.20
Niedersachsen;Gastronomie;Restaurant;restaurant;1;Max. 50% Auslastung, max 2 Haushalte pro Tisch;17.05.20
Niedersachsen;Gastronomie;Eisdiele;eisdiele;1;Max. 50% Auslastung, max 2 Haushalte pro Tisch;17.05.20
Niedersachsen;Gastronomie;Mensa / Kantine;kantine;1;Max. 50% Auslastung, max 2 Haushalte pro Tisch;17.05.20
Rheinland-Pfalz;Allgemeine Vorgaben;Maskenpflicht;maskenpflicht;1;Es besteht Maskenpflicht;18.05.20
Rheinland-Pfalz;Allgemeine Vorgaben;1,5m Abstand ;abstand;1;1,5m Abstand halten;18.05.20
