Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Wuerttemberg;34.0;50;307;1.652;2020-05-18
Bayern;45.507;80;348;2.287;2020-05-18
Berlin;6.457999999999999;11;172;180.0;2020-05-18
Brandenburg;3.1719999999999997;1;126;149.0;2020-05-18
Bremen;1.171;7;171;38.0;2020-05-18
Hamburg;5.037;8;274;232.0;2020-05-18
Hessen;9.337;20;149;439.0;2020-05-18
Mecklenburg-Vorpommern;752.0;4;47;20.0;2020-05-18
Niedersachsen;11.167;12;140;545.0;2020-05-18
Nordrhein-Westfalen;36.365;79;203;1.5119999999999998;2020-05-18
Rheinland-Pfalz;6.49;41;159;217.0;2020-05-18
Saarland;2.696;0;272;149.0;2020-05-18
Sachsen;5.125;10;126;196.0;2020-05-18
Sachsen-Anhalt;1.6780000000000002;2;76;54.0;2020-05-18
Schleswig-Holstein;3.002;2;104;126.0;2020-05-18
Thueringen;2.74;15;128;139.0;2020-05-18
Gesamt;174.697;342;210;7.935;2020-05-18
